YEAR,age,gender,marital_status,race,birth_place,education,occupation,industry,hours_per_week,income
1990,30,1,0,3,3,1,503,6,55,0
1990,28,2,0,3,3,1,185,3,10,0
1990,27,1,1,3,3,1,64,4,25,0
1990,63,2,0,0,0,1,254,4,40,1
1990,68,1,0,0,0,0,584,0,40,0
1990,50,1,0,0,0,1,418,6,49,0
1990,46,2,0,0,0,0,195,6,40,0
1990,36,1,0,0,0,1,47,0,42,1
1990,36,2,0,0,0,1,185,1,8,0
1990,21,1,1,0,0,0,904,6,60,0
1990,21,1,0,0,0,0,804,6,40,0
1990,23,2,0,0,0,1,379,4,4,0
1990,34,1,0,0,0,1,226,6,50,1
1990,34,2,0,0,0,1,459,5,15,0
1990,28,1,0,0,0,1,308,6,55,0
1990,37,2,0,0,0,1,337,3,40,0
1990,57,1,0,0,0,0,22,2,40,1
1990,59,2,0,0,0,1,156,5,0,0
1990,49,2,1,0,0,0,22,2,54,0
1990,38,2,1,0,0,1,889,3,45,0
1990,39,1,2,3,0,0,575,0,40,0
1990,72,2,3,3,0,0,0,0,0,0
1990,32,1,0,0,0,0,243,3,40,0
1990,27,2,0,0,0,0,335,4,0,0
1990,68,1,2,0,0,1,0,0,0,0
1990,37,2,2,0,0,1,189,5,16,0
1990,31,1,1,0,0,0,883,2,24,0
1990,44,1,0,0,0,1,876,2,30,0
1990,39,2,0,0,0,1,379,5,40,1
1990,34,2,1,0,0,1,389,6,37,0
1990,60,1,0,0,0,0,259,3,40,1
1990,59,2,0,0,0,0,22,1,40,0
1990,39,1,0,0,0,1,259,3,30,0
1990,49,2,0,0,2,1,84,5,40,1
1990,46,1,0,3,3,0,809,2,40,1
1990,45,2,0,3,3,0,449,4,40,0
1990,21,2,1,3,3,0,276,3,40,0
1990,19,1,1,3,3,0,0,0,0,0
1990,44,2,2,0,0,0,447,5,50,0
1990,27,1,0,0,0,0,515,6,50,0
1990,30,2,0,0,0,0,379,5,45,0
1990,42,1,0,0,0,1,243,3,60,1
1990,36,2,0,0,0,1,313,3,3,0
1990,45,1,0,0,0,1,699,1,84,1
1990,43,2,0,0,0,1,0,0,0,0
1990,42,1,0,3,0,0,883,2,40,0
1990,30,2,0,0,0,1,466,5,40,0
1990,55,1,0,0,0,1,36,6,0,0
1990,56,2,0,0,0,1,0,0,0,0
1990,52,1,2,0,0,0,804,2,40,1
1990,33,2,2,0,0,0,278,1,12,0
1990,46,1,0,0,0,1,65,6,40,0
1990,43,2,0,0,0,0,274,3,40,0
1990,19,1,1,0,0,1,276,3,28,0
1990,28,1,1,0,0,1,505,4,38,0
1990,30,1,0,0,0,0,486,0,40,0
1990,22,2,0,0,0,0,276,3,32,0
1990,26,2,3,0,0,1,275,4,40,0
1990,28,1,2,0,0,0,505,4,40,0
1990,28,2,1,0,0,1,75,0,40,1
1990,31,1,0,0,0,1,22,4,60,0
1990,29,2,0,0,0,1,95,5,40,0
1990,32,1,1,0,0,1,213,6,40,0
1990,55,1,0,0,0,1,22,6,40,1
1990,43,2,0,0,0,1,227,6,40,1
1990,49,2,0,0,0,1,313,5,40,0
1990,36,1,0,0,0,1,189,4,50,0
1990,25,1,0,2,0,0,617,0,60,1
1990,24,2,0,0,0,0,313,3,40,0
1990,42,1,0,0,0,1,213,6,40,0
1990,42,2,0,0,0,1,348,2,40,0
1990,39,2,2,0,0,1,303,6,40,0
1990,40,1,0,1,0,1,157,5,50,1
1990,39,2,0,1,0,0,156,5,40,1
1990,68,2,2,1,0,0,0,0,0,0
1990,34,1,0,0,0,1,696,0,50,1
1990,29,2,0,0,0,1,216,0,48,0
1990,58,2,2,0,0,1,808,5,40,0
