,workclass,age,marital_status,occupation,relationship,gender,native_country,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,67,2,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1
1,0,17,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,31,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0
3,1,58,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,25,1,4,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0
5,1,59,1,6,2,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0
6,0,70,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,35,0,3,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
8,0,28,1,5,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0
9,0,28,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1
10,0,21,1,0,2,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
11,2,30,0,5,2,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2,59,2,5,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1
13,0,20,1,5,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
14,0,45,1,4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1
15,0,76,2,2,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1
16,0,30,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
17,1,54,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
18,1,19,1,2,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
19,0,44,0,2,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1
20,0,31,0,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
21,0,47,0,3,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0
22,2,37,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1
23,0,59,0,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,2,27,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
25,0,24,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
26,0,49,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0
27,0,36,0,2,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1
28,1,54,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1
29,0,44,2,6,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1
30,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0
31,1,19,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1
32,0,71,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1
33,2,62,2,6,2,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
34,2,35,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
35,1,64,0,4,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
36,0,53,0,4,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0
37,0,30,1,0,2,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1
38,0,34,1,5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
39,0,62,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0
40,1,21,1,2,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
41,0,42,0,3,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0
42,0,26,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
43,0,43,2,5,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
44,0,28,1,5,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0
45,0,23,1,3,2,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1
46,2,56,2,4,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0
47,0,21,1,5,2,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1
48,0,30,1,2,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
49,0,58,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
50,0,40,1,6,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
51,0,21,1,6,2,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1
52,0,25,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0
