,age,workclass,fnlwgt,education,educational_num,marital_status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native_country,income_bigger_than_50K
0,67,0,366425,1,16,2,0,1,0,0,99999,0,60,0,1
1,17,0,244602,0,8,1,1,2,0,0,0,0,15,0,0
2,31,0,174201,1,13,0,0,0,0,0,0,0,40,0,1
3,58,1,110199,0,4,0,2,0,0,0,0,0,40,0,0
4,25,1,149248,1,10,1,1,1,1,0,0,0,40,0,0
5,59,1,105363,0,9,1,2,2,0,0,0,0,40,0,0
6,70,0,216390,0,5,0,2,2,0,1,2653,0,40,0,0
7,35,2,361888,1,13,0,2,0,0,0,0,0,60,1,0
8,28,0,74784,0,9,1,2,1,0,0,0,0,50,0,0
9,28,0,118089,0,9,0,0,0,0,0,4386,0,45,0,1
10,21,0,138513,1,10,1,0,2,0,0,0,0,25,0,0
11,30,2,100252,0,9,0,2,2,2,0,0,0,60,1,0
12,59,2,241297,1,10,2,2,1,0,1,6849,0,40,0,0
13,20,0,39764,0,9,1,2,2,0,0,0,0,40,0,0
14,45,0,30690,0,4,1,1,1,0,0,0,0,10,0,0
15,76,0,316185,0,4,2,2,1,0,1,0,0,12,0,0
16,30,0,110239,0,6,0,2,0,0,0,0,0,55,0,0
17,54,1,278076,0,9,0,0,0,0,0,5178,0,40,0,1
18,19,1,259169,1,10,1,1,2,0,1,0,0,30,0,0
19,44,0,136986,1,16,0,1,0,0,0,0,0,50,0,1
20,31,0,154227,1,10,0,2,0,0,0,0,0,40,0,0
21,47,0,117774,0,9,0,2,0,0,0,0,0,40,1,0
22,37,2,174308,0,9,0,0,0,0,0,0,0,40,0,0
23,59,0,189721,1,13,0,2,0,0,0,0,0,40,1,1
24,27,2,229125,0,7,0,0,0,0,0,0,0,40,0,0
25,24,0,341294,0,9,0,2,0,0,0,0,0,40,0,0
26,49,0,102583,1,10,0,1,0,0,0,0,1848,44,0,1
27,36,0,64874,1,14,0,1,0,0,0,0,0,60,0,1
28,54,1,129432,1,13,0,0,0,0,0,15024,0,40,0,1
29,44,0,163331,1,10,2,2,2,0,1,0,0,32,0,0
30,35,0,38245,1,10,0,0,0,0,0,0,0,60,0,0
31,19,1,167816,0,9,2,0,1,0,1,0,0,35,0,0
32,71,0,152307,0,9,0,0,0,0,0,0,2377,45,0,1
34,62,2,136684,0,9,2,2,2,0,1,0,0,30,0,0
35,35,2,241126,0,9,1,0,2,0,0,0,0,60,0,0
36,64,1,287277,0,5,0,1,0,0,0,0,0,40,0,0
37,53,0,188644,0,1,0,1,0,0,0,0,0,40,1,0
38,30,0,182833,1,10,1,0,2,1,1,0,0,40,0,0
39,34,0,434463,1,13,1,2,1,0,1,0,0,39,0,0
40,62,0,312818,1,13,0,0,0,0,0,0,1902,1,0,1
41,21,1,173534,1,10,1,1,2,0,1,0,0,40,1,0
42,42,0,204235,0,9,0,2,0,0,0,0,0,40,0,0
43,26,0,193165,1,10,0,2,0,0,0,0,0,52,0,1
44,43,0,175133,1,10,2,2,2,1,1,0,0,35,0,0
45,28,0,161538,1,13,1,2,1,0,1,0,0,35,0,0
46,23,0,177787,1,13,1,2,2,0,1,0,0,30,1,0
47,56,2,176280,0,9,2,1,1,0,0,0,0,50,0,0
49,21,0,157893,0,9,1,2,2,0,1,0,0,40,0,0
50,30,0,296462,1,14,1,1,1,1,0,0,0,30,0,0
51,58,0,136951,1,13,0,2,0,2,0,0,0,40,1,0
52,40,0,87771,0,9,1,2,1,0,1,0,0,40,0,0
53,21,0,206008,1,10,1,2,2,1,0,0,0,50,0,0
54,25,0,340288,0,5,0,2,0,0,0,0,0,40,0,0
55,63,2,124015,1,14,2,1,1,0,0,0,0,40,0,1
56,50,1,262777,1,14,2,0,2,2,0,0,0,45,1,0
57,29,1,82393,0,9,1,2,2,2,0,0,1590,45,0,0
58,50,1,141875,0,9,0,2,0,0,0,0,0,40,0,0
59,27,0,60288,1,14,1,2,2,0,1,0,0,40,0,0
60,19,0,366088,0,5,1,2,2,0,0,0,0,40,0,0
61,52,1,254285,1,16,0,1,0,0,0,0,1887,70,1,1
62,33,1,100734,0,9,2,2,1,0,1,0,0,55,0,0
63,38,1,534775,1,10,1,2,2,1,1,0,0,50,0,0
64,34,1,189944,1,10,1,2,1,1,1,0,0,72,0,0
65,49,1,195727,0,9,0,2,0,0,0,0,0,40,0,0
66,36,0,160035,1,10,0,0,0,0,0,0,0,55,0,1
68,46,2,199596,1,10,2,0,2,0,1,0,0,50,0,0
69,21,0,199444,0,9,1,2,2,0,1,0,0,44,0,0
70,32,0,211743,1,13,1,2,1,0,0,0,0,45,0,0
71,24,0,56121,0,3,0,2,0,0,0,0,0,60,1,0
73,59,0,131869,0,9,2,1,1,0,1,0,0,35,0,0
74,20,1,318382,0,9,1,2,1,0,0,0,0,40,0,0
75,32,0,130304,0,9,0,1,0,0,0,0,1485,48,0,0
76,47,0,294913,0,15,0,0,0,0,0,99999,0,40,0,1
77,37,0,147258,0,5,0,2,0,0,0,0,0,50,0,1
78,32,0,116539,1,13,0,0,0,0,0,0,1887,55,0,1
79,20,0,168187,1,10,1,1,2,0,1,4416,0,25,0,0
80,46,0,143189,0,3,1,2,2,0,1,0,0,40,1,0
81,37,0,122493,0,9,0,2,0,0,0,0,0,45,0,0
83,27,0,293828,0,9,1,1,1,1,1,0,0,40,1,0
84,30,0,129227,0,9,2,2,1,0,1,0,0,40,0,0
85,34,0,217652,0,8,2,2,2,0,1,0,0,40,0,0
86,26,0,58350,1,13,1,1,1,0,1,0,0,50,0,0
87,23,0,203003,0,4,1,0,1,0,0,0,0,25,1,0
89,21,0,228230,1,10,1,1,2,0,1,0,0,15,0,0
90,42,0,249332,0,9,0,2,0,0,0,0,0,40,0,1
91,68,2,198884,0,9,0,0,0,0,0,0,0,25,0,0
92,41,0,192602,1,10,0,0,0,0,0,0,0,40,0,1
93,49,0,146121,0,3,2,2,2,2,1,0,0,20,1,0
94,31,0,288983,1,10,1,2,1,0,0,0,0,40,0,0
96,58,0,265579,0,9,2,2,1,0,1,0,0,40,0,0
97,34,1,180871,1,13,0,2,0,0,0,0,0,55,0,0
99,80,2,248568,0,9,0,2,0,0,0,0,0,30,0,0
100,52,0,31533,0,9,2,1,1,0,0,0,0,40,0,0
101,56,0,165867,0,9,0,0,0,0,0,0,0,40,0,0
102,27,1,122660,1,13,1,1,2,1,1,0,0,40,0,0
103,49,1,172246,1,13,0,2,0,0,0,99999,0,40,0,1
104,73,1,45784,1,10,1,1,2,0,1,0,0,11,0,0
105,59,1,197290,0,5,0,1,0,0,0,0,0,40,0,0
106,33,0,264554,1,13,0,1,0,0,0,0,0,45,0,1
107,39,0,84954,1,10,0,2,0,0,0,2829,0,65,0,0
108,33,1,377107,1,10,2,1,2,1,1,0,0,35,0,0
109,52,0,226084,0,9,2,2,2,0,1,0,0,40,0,0
110,30,0,196385,1,10,0,0,0,0,0,0,0,45,0,1
112,46,0,201217,0,9,2,1,1,0,1,0,0,40,0,0
113,57,0,437727,1,14,0,1,0,0,0,0,1977,45,0,1
115,31,0,20511,1,13,1,1,1,0,1,0,0,25,0,0
116,43,1,301638,0,8,0,2,0,0,0,0,1579,40,0,0
117,51,0,337195,1,10,0,2,0,0,0,0,1902,50,0,1
118,30,1,164552,1,13,1,1,1,0,0,0,1876,40,0,0
120,64,1,173754,0,9,0,2,0,0,0,0,0,40,0,0
121,69,2,107548,0,5,0,2,0,0,0,0,0,40,0,0
122,22,0,185452,1,13,1,0,2,0,1,0,0,40,0,0
123,17,0,134829,0,7,1,1,2,0,0,2176,0,20,0,0
125,41,0,115562,0,9,2,2,2,0,0,0,0,40,0,0
126,63,0,308028,1,14,0,2,0,0,0,5013,0,40,0,0
