,race,workclass,fnlwgt,marital_status,occupation,relationship,age,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19
0,0,0,366425,2,0,1,67,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0
1,0,0,244602,1,1,2,17,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1
2,0,0,174201,0,0,0,31,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
3,0,1,110199,0,2,0,58,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0
4,1,1,149248,1,1,1,25,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0
5,0,1,105363,1,2,2,59,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
6,0,0,216390,0,2,2,70,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
7,0,2,361888,0,2,0,35,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
8,0,0,74784,1,2,1,28,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1
9,0,0,118089,0,0,0,28,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0
10,0,0,138513,1,0,2,21,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0
11,2,2,100252,0,2,2,30,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0
12,0,2,241297,2,2,1,59,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
13,0,0,39764,1,2,2,20,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0
14,0,0,30690,1,1,1,45,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0
15,0,0,316185,2,2,1,76,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1
16,0,0,110239,0,2,0,30,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0
17,0,1,278076,0,0,0,54,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
18,0,1,259169,1,1,2,19,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
19,0,0,136986,0,1,0,44,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0
20,0,0,154227,0,2,0,31,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1
21,0,0,117774,0,2,0,47,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
22,0,2,174308,0,0,0,37,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1
23,0,0,189721,0,2,0,59,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0
24,0,2,229125,0,0,0,27,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0
25,0,0,341294,0,2,0,24,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
26,0,0,102583,0,1,0,49,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
